v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.9 0.0 0.3 -4.73701e-05 5.947421e-11 4.737003e-05 -1.90206e-12
0.95 0.0 0.3 -5.69045e-05 7.851556e-11 5.690442e-05 -4.92242e-12
1.0 0.0 0.3 -6.67128e-05 1.055375e-10 6.671275e-05 -1.25837e-11
1.05 0.0 0.3 -7.67434e-05 1.472749e-10 7.674327e-05 -3.10526e-11
1.1 0.0 0.3 -8.69563e-05 2.162554e-10 8.695612e-05 -7.22051e-11
0.0 0.0 0.35 5.881846e-09 5.334494e-13 -5.88238e-09 -1.58207e-15
0.05 0.0 0.35 4.631372e-09 5.716999e-13 -4.63194e-09 -1.58207e-15
0.1 0.0 0.35 3.635355e-09 5.719906e-13 -3.63593e-09 -1.60982e-15
0.15 0.0 0.35 2.841553e-09 5.460537e-13 -2.8421e-09 -1.60982e-15
0.2 0.0 0.35 2.205472e-09 5.82203e-13 -2.20605e-09 -1.60982e-15
0.25 0.0 0.35 1.681709e-09 6.81817e-13 -1.68239e-09 -1.60982e-15
0.3 0.0 0.35 1.153937e-09 8.376638e-13 -1.15477e-09 -1.4988e-15
0.35 0.0 0.35 -5.30806e-13 1.063143e-12 -5.30806e-13 -1.60982e-15
0.4 0.0 0.35 -6.03953e-09 1.390285e-12 6.038145e-09 -1.4988e-15
0.45 0.0 0.35 -4.09956e-08 1.92058e-12 4.099372e-08 -1.66533e-15
0.5 0.0 0.35 -2.15285e-07 3.045222e-12 2.152821e-07 -2.08167e-15
0.55 0.0 0.35 -9.25066e-07 5.226175e-12 9.250606e-07 -3.52496e-15
0.6 0.0 0.35 -2.99812e-06 8.418547e-12 2.998108e-06 -8.10463e-15
0.65 0.0 0.35 -7.05475e-06 1.265853e-11 7.054737e-06 -1.95954e-14
0.7 0.0 0.35 -1.29081e-05 1.814427e-11 1.290807e-05 -4.57412e-14
0.75 0.0 0.35 -2.00354e-05 2.512607e-11 2.003534e-05 -1.07025e-13
0.8 0.0 0.35 -2.80274e-05 3.39249e-11 2.80274e-05 -2.5957e-13
0.85 0.0 0.35 -3.66346e-05 4.500312e-11 3.663452e-05 -6.54476e-13
0.9 0.0 0.35 -4.57039e-05 5.912515e-11 4.570389e-05 -1.69145e-12
0.95 0.0 0.35 -5.51343e-05 7.774485e-11 5.513419e-05 -4.40015e-12
1.0 0.0 0.35 -6.48531e-05 1.038775e-10 6.485304e-05 -1.13062e-11
1.05 0.0 0.35 -7.48063e-05 1.437633e-10 7.480622e-05 -2.80858e-11
1.1 0.0 0.35 -8.4952e-05 2.091871e-10 8.495188e-05 -6.58767e-11
0.0 0.0 0.4 3.587152e-08 8.605464e-13 -3.58724e-08 -1.60982e-15
0.05 0.0 0.4 2.871741e-08 8.987852e-13 -2.87183e-08 -1.66533e-15
0.1 0.0 0.4 2.291533e-08 8.990669e-13 -2.29162e-08 -1.66533e-15
0.15 0.0 0.4 1.821641e-08 8.731238e-13 -1.82173e-08 -1.60982e-15
0.2 0.0 0.4 1.441028e-08 9.092702e-13 -1.44112e-08 -1.58207e-15
0.25 0.0 0.4 1.131153e-08 1.008886e-12 -1.13125e-08 -1.58207e-15
0.3 0.0 0.4 8.716785e-09 1.164743e-12 -8.71795e-09 -1.60982e-15
0.35 0.0 0.4 6.038145e-09 1.390285e-12 -6.03953e-09 -1.4988e-15
0.4 0.0 0.4 -8.50134e-13 1.701805e-12 -8.50134e-13 -1.60982e-15
0.45 0.0 0.4 -2.86873e-08 2.232529e-12 2.868506e-08 -1.60982e-15
0.5 0.0 0.4 -1.70624e-07 3.356507e-12 1.706208e-07 -1.88738e-15
0.55 0.0 0.4 -7.65074e-07 5.530306e-12 7.650688e-07 -2.85882e-15
0.6 0.0 0.4 -2.58882e-06 8.702382e-12 2.588808e-06 -6.41154e-15
0.65 0.0 0.4 -6.32934e-06 1.291045e-11 6.329331e-06 -1.56264e-14
0.7 0.0 0.4 -1.18953e-05 1.835572e-11 1.189527e-05 -3.74978e-14
0.75 0.0 0.4 -1.87882e-05 2.528589e-11 1.878821e-05 -9.07885e-14
0.8 0.0 0.4 -2.659e-05 3.401297e-11 2.658997e-05 -2.25403e-13
0.85 0.0 0.4 -3.50401e-05 4.498e-11 3.504003e-05 -5.76539e-13
0.9 0.0 0.4 -4.39782e-05 5.890666e-11 4.397812e-05 -1.50238e-12
0.95 0.0 0.4 -5.32979e-05 7.71407e-11 5.329784e-05 -3.92997e-12
1.0 0.0 0.4 -6.29231e-05 1.024595e-10 6.292301e-05 -1.01508e-11
1.05 0.0 0.4 -7.27965e-05 1.40638e-10 7.279638e-05 -2.53796e-11
1.1 0.0 0.4 -8.28739e-05 2.027403e-10 8.287372e-05 -6.00375e-11
0.0 0.0 0.45 1.879815e-07 1.391588e-12 -1.87983e-07 -2.33147e-15
0.05 0.0 0.45 1.535262e-07 1.42962e-12 -1.53528e-07 -2.13718e-15
0.1 0.0 0.45 1.249774e-07 1.429725e-12 -1.24979e-07 -2.08167e-15
0.15 0.0 0.45 1.013758e-07 1.403635e-12 -1.01377e-07 -1.88738e-15
0.2 0.0 0.45 8.18934e-08 1.439665e-12 -8.18948e-08 -1.83187e-15
0.25 0.0 0.45 6.580636e-08 1.539197e-12 -6.58079e-08 -1.83187e-15
0.3 0.0 0.45 5.24451e-08 1.695013e-12 -5.24468e-08 -1.66533e-15
0.35 0.0 0.45 4.099372e-08 1.92058e-12 -4.09956e-08 -1.66533e-15
0.4 0.0 0.45 2.868506e-08 2.232529e-12 -2.86873e-08 -1.60982e-15
0.45 0.0 0.45 -1.3245e-12 2.65056e-12 -1.3245e-12 -1.60982e-15
0.5 0.0 0.45 -1.19259e-07 3.776283e-12 1.192557e-07 -1.88738e-15
0.55 0.0 0.45 -6.13831e-07 5.943986e-12 6.138252e-07 -2.498e-15
0.6 0.0 0.45 -2.19602e-06 9.097903e-12 2.196013e-06 -5.13478e-15
0.65 0.0 0.45 -5.6054e-06 1.327728e-11 5.605385e-06 -1.23235e-14
0.7 0.0 0.45 -1.08549e-05 1.868664e-11 1.085493e-05 -3.06699e-14
0.75 0.0 0.45 -1.74851e-05 2.557118e-11 1.748507e-05 -7.65221e-14
0.8 0.0 0.45 -2.50744e-05 3.423424e-11 2.507433e-05 -1.94983e-13
0.85 0.0 0.45 -3.33519e-05 4.510087e-11 3.335183e-05 -5.06872e-13
0.9 0.0 0.45 -4.21488e-05 5.885008e-11 4.214875e-05 -1.33293e-12
0.95 0.0 0.45 -5.13523e-05 7.673323e-11 5.135226e-05 -3.50756e-12
1.0 0.0 0.45 -6.08813e-05 1.013092e-10 6.088124e-05 -9.10697e-12
1.05 0.0 0.45 -7.06747e-05 1.379173e-10 7.067457e-05 -2.29142e-11
1.1 0.0 0.45 -8.06851e-05 1.969243e-10 8.068492e-05 -5.46575e-11
0.0 0.0 0.5 8.241847e-07 2.52943e-12 -8.24187e-07 -4.996e-15
0.05 0.0 0.5 6.903048e-07 2.564832e-12 -6.90307e-07 -4.16334e-15
0.1 0.0 0.5 5.756893e-07 2.562551e-12 -5.75692e-07 -3.55271e-15
0.15 0.0 0.5 4.780305e-07 2.534316e-12 -4.78033e-07 -3.05311e-15
0.2 0.0 0.5 3.951603e-07 2.56844e-12 -3.95163e-07 -2.72005e-15
0.25 0.0 0.5 3.250464e-07 2.666311e-12 -3.25049e-07 -2.498e-15
0.3 0.0 0.5 2.65755e-07 2.820731e-12 -2.65758e-07 -2.19269e-15
0.35 0.0 0.5 2.152821e-07 3.045222e-12 -2.15285e-07 -2.08167e-15
0.4 0.0 0.5 1.706208e-07 3.356507e-12 -1.70624e-07 -1.88738e-15
0.45 0.0 0.5 1.192557e-07 3.776283e-12 -1.19259e-07 -1.88738e-15
0.5 0.0 0.5 -2.16376e-12 4.329206e-12 -2.16376e-12 -1.83187e-15
0.55 0.0 0.5 -4.16197e-07 6.499475e-12 4.161907e-07 -2.30371e-15
0.6 0.0 0.5 -1.76946e-06 9.637538e-12 1.769447e-06 -4.10783e-15
0.65 0.0 0.5 -4.82381e-06 1.379333e-11 4.823798e-06 -9.82547e-15
0.7 0.0 0.5 -9.715e-06 1.917437e-11 9.714984e-06 -2.498e-14
0.75 0.0 0.5 -1.60444e-05 2.602262e-11 1.604438e-05 -6.43929e-14
0.8 0.0 0.5 -2.33949e-05 3.463248e-11 2.339489e-05 -1.68393e-13
0.85 0.0 0.5 -3.14847e-05 4.541206e-11 3.148466e-05 -4.45116e-13
0.9 0.0 0.5 -4.01337e-05 5.900331e-11 4.013364e-05 -1.18175e-12
0.95 0.0 0.5 -4.92201e-05 7.657007e-11 4.922002e-05 -3.12858e-12
1.0 0.0 0.5 -5.86559e-05 1.004711e-10 5.865579e-05 -8.16514e-12
1.05 0.0 0.5 -6.83747e-05 1.356383e-10 6.837456e-05 -2.06712e-11
1.1 0.0 0.5 -7.83251e-05 1.917674e-10 7.832493e-05 -4.97079e-11
0.0 0.0 0.55 2.786642e-06 4.784057e-12 -2.78665e-06 -1.33782e-14
0.05 0.0 0.55 2.422505e-06 4.806916e-12 -2.42251e-06 -1.1019e-14
0.1 0.0 0.55 2.094659e-06 4.7927e-12 -2.09466e-06 -9.02056e-15
0.15 0.0 0.55 1.801194e-06 4.753165e-12 -1.8012e-06 -7.54952e-15
0.2 0.0 0.55 1.539999e-06 4.776662e-12 -1.54e-06 -6.10623e-15
0.25 0.0 0.55 1.308738e-06 4.864622e-12 -1.30874e-06 -4.996e-15
0.3 0.0 0.55 1.104793e-06 5.009915e-12 -1.1048e-06 -4.16334e-15
0.35 0.0 0.55 9.250606e-07 5.226175e-12 -9.25066e-07 -3.52496e-15
0.4 0.0 0.55 7.650688e-07 5.530306e-12 -7.65074e-07 -2.85882e-15
0.45 0.0 0.55 6.138252e-07 5.943986e-12 -6.13831e-07 -2.498e-15
0.5 0.0 0.55 4.161907e-07 6.499475e-12 -4.16197e-07 -2.30371e-15
0.55 0.0 0.55 -3.61084e-12 7.223763e-12 -3.61084e-12 -2.2482e-15
0.6 0.0 0.55 -1.12406e-06 1.036744e-11 1.124046e-06 -3.55271e-15
0.65 0.0 0.55 -3.80534e-06 1.45076e-11 3.805328e-06 -7.99361e-15
0.7 0.0 0.55 -8.29657e-06 1.987159e-11 8.296554e-06 -2.05669e-14
0.75 0.0 0.55 -1.42902e-05 2.669755e-11 1.429015e-05 -5.44564e-14
0.8 0.0 0.55 -2.13828e-05 3.527014e-11 2.138274e-05 -1.45883e-13
0.85 0.0 0.55 -2.92796e-05 4.59809e-11 2.927953e-05 -3.91159e-13
0.9 0.0 0.55 -3.77853e-05 5.943758e-11 3.778525e-05 -1.04772e-12
0.95 0.0 0.55 -4.67658e-05 7.672439e-11 4.67657e-05 -2.78982e-12
1.0 0.0 0.55 -5.61236e-05 1.000169e-10 5.612347e-05 -7.31695e-12
1.05 0.0 0.55 -6.57852e-05 1.338676e-10 6.578505e-05 -1.86337e-11
1.1 0.0 0.55 -7.56939e-05 1.873284e-10 7.569372e-05 -4.5161e-11
0.0 0.0 0.6 6.847194e-06 8.147063e-12 -6.8472e-06 -3.2585e-14
0.05 0.0 0.6 6.181788e-06 8.143607e-12 -6.1818e-06 -2.7367e-14
0.1 0.0 0.6 5.555662e-06 8.103587e-12 -5.55567e-06 -2.28983e-14
0.15 0.0 0.6 4.96865e-06 8.038815e-12 -4.96866e-06 -1.89293e-14
0.2 0.0 0.6 4.420424e-06 8.037711e-12 -4.42043e-06 -1.55431e-14
0.25 0.0 0.6 3.910296e-06 8.10181e-12 -3.9103e-06 -1.25733e-14
0.3 0.0 0.6 3.436979e-06 8.22413e-12 -3.43699e-06 -9.99201e-15
0.35 0.0 0.6 2.998108e-06 8.418547e-12 -2.99812e-06 -8.10463e-15
0.4 0.0 0.6 2.588808e-06 8.702382e-12 -2.58882e-06 -6.41154e-15
0.45 0.0 0.6 2.196013e-06 9.097903e-12 -2.19602e-06 -5.13478e-15
0.5 0.0 0.6 1.769447e-06 9.637538e-12 -1.76946e-06 -4.10783e-15
0.55 0.0 0.6 1.124046e-06 1.036744e-11 -1.12406e-06 -3.55271e-15
0.6 0.0 0.6 -5.6482e-12 1.129962e-11 -5.6482e-12 -3.21965e-15
0.65 0.0 0.6 -2.25838e-06 1.545949e-11 2.258362e-06 -6.88338e-15
0.7 0.0 0.6 -6.32228e-06 2.082167e-11 6.322259e-06 -1.7486e-14
0.75 0.0 0.6 -1.19649e-05 2.764575e-11 1.196485e-05 -4.70735e-14
0.8 0.0 0.6 -1.87982e-05 3.62059e-11 1.87982e-05 -1.27232e-13
0.85 0.0 0.6 -2.65121e-05 4.687679e-11 2.651209e-05 -3.44752e-13
0.9 0.0 0.6 -3.48931e-05 6.023345e-11 3.489308e-05 -9.29756e-13
0.95 0.0 0.6 -4.37925e-05 7.728655e-11 4.379243e-05 -2.4879e-12
1.0 0.0 0.6 -5.31016e-05 1.000433e-10 5.310146e-05 -6.5549e-12
1.05 0.0 0.6 -6.2738e-05 1.327032e-10 6.273788e-05 -1.67861e-11
1.1 0.0 0.6 -7.26383e-05 1.837026e-10 7.263812e-05 -4.09912e-11
0.0 0.0 0.65 1.290143e-05 1.264043e-11 -1.29014e-05 -6.88616e-14
0.05 0.0 0.65 1.197274e-05 1.259903e-11 -1.19728e-05 -5.90916e-14
0.1 0.0 0.65 1.10756e-05 1.252153e-11 -1.10756e-05 -5.04319e-14
