v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.5 1.1 0.2 -2.84018e-05 -6.17195e-12 2.840179e-05 9.591454e-13
0.55 1.1 0.2 -2.98113e-05 -6.21636e-12 2.981134e-05 1.060629e-12
0.6 1.1 0.2 -3.08806e-05 -6.2963e-12 3.088064e-05 1.172709e-12
0.65 1.1 0.2 -3.17867e-05 -6.40377e-12 3.178673e-05 1.295711e-12
0.7 1.1 0.2 -3.26102e-05 -6.5361e-12 3.261017e-05 1.430297e-12
0.75 1.1 0.2 -3.33882e-05 -6.68798e-12 3.338822e-05 1.577346e-12
0.8 1.1 0.2 -3.41395e-05 -6.86118e-12 3.413954e-05 1.737894e-12
0.85 1.1 0.2 -3.48742e-05 -7.05569e-12 3.487424e-05 1.913103e-12
0.9 1.1 0.2 -3.55982e-05 -7.26796e-12 3.559823e-05 2.104255e-12
0.95 1.1 0.2 -3.63152e-05 -7.50333e-12 3.631524e-05 2.312757e-12
1.0 1.1 0.2 -3.70279e-05 -7.7609e-12 3.70279e-05 2.54014e-12
1.05 1.1 0.2 -3.77384e-05 -8.0389e-12 3.773845e-05 2.788071e-12
1.1 1.1 0.2 -3.84492e-05 -8.33467e-12 3.844919e-05 3.05836e-12
0.0 1.1 0.25 3.610177e-05 -3.97877e-11 -3.61018e-05 2.530225e-11
0.05 1.1 0.25 2.914915e-05 -2.20899e-11 -2.91491e-05 1.037954e-11
0.1 1.1 0.25 2.209098e-05 -1.35145e-11 -2.2091e-05 4.080954e-12
0.15 1.1 0.25 1.490434e-05 -9.13669e-12 -1.49043e-05 1.563888e-12
0.2 1.1 0.25 7.5557e-06 -6.65334e-12 -7.55569e-06 5.903948e-13
0.25 1.1 0.25 2.416521e-12 -5.05462e-12 2.416521e-12 2.209492e-13
0.3 1.1 0.25 -7.00862e-06 -4.83791e-12 7.008626e-06 2.43244e-13
0.35 1.1 0.25 -1.27426e-05 -4.6585e-12 1.274265e-05 2.680922e-13
0.4 1.1 0.25 -1.72733e-05 -4.52349e-12 1.727326e-05 2.959641e-13
0.45 1.1 0.25 -2.06393e-05 -4.42668e-12 2.063927e-05 3.276388e-13
0.5 1.1 0.25 -2.29227e-05 -4.37073e-12 2.292274e-05 3.641536e-13
0.55 1.1 0.25 -2.44158e-05 -4.35119e-12 2.441582e-05 4.060164e-13
0.6 1.1 0.25 -2.54935e-05 -4.35918e-12 2.549354e-05 4.529707e-13
0.65 1.1 0.25 -2.63822e-05 -4.38849e-12 2.638223e-05 5.048073e-13
0.7 1.1 0.25 -2.71814e-05 -4.43379e-12 2.718137e-05 5.616129e-13
0.75 1.1 0.25 -2.79341e-05 -4.49329e-12 2.793409e-05 6.236621e-13
0.8 1.1 0.25 -2.86608e-05 -4.56613e-12 2.866076e-05 6.91336e-13
0.85 1.1 0.25 -2.93719e-05 -4.64873e-12 2.937193e-05 7.650888e-13
0.9 1.1 0.25 -3.00735e-05 -4.74198e-12 3.007354e-05 8.454352e-13
0.95 1.1 0.25 -3.07692e-05 -4.84857e-12 3.076919e-05 9.329474e-13
1.0 1.1 0.25 -3.14613e-05 -4.96581e-12 3.146129e-05 1.028256e-12
1.05 1.1 0.25 -3.21517e-05 -5.08926e-12 3.215173e-05 1.132052e-12
1.1 1.1 0.25 -3.28424e-05 -5.21982e-12 3.284236e-05 1.245093e-12
0.0 1.1 0.3 4.074386e-05 -4.16511e-11 -4.07438e-05 2.74635e-11
0.05 1.1 0.3 3.414586e-05 -2.27516e-11 -3.41459e-05 1.132878e-11
0.1 1.1 0.3 2.747945e-05 -1.36282e-11 -2.74794e-05 4.470738e-12
0.15 1.1 0.3 2.074001e-05 -9.023e-12 -2.074e-05 1.717421e-12
0.2 1.1 0.3 1.391985e-05 -6.45528e-12 -1.39198e-05 6.494202e-13
0.25 1.1 0.3 7.008626e-06 -4.83791e-12 -7.00862e-06 2.43244e-13
0.3 1.1 0.3 1.808224e-12 -3.70814e-12 1.808224e-12 9.069108e-14
0.35 1.1 0.3 -6.33815e-06 -3.52696e-12 6.33815e-06 9.997037e-14
0.4 1.1 0.3 -1.13176e-05 -3.37685e-12 1.131758e-05 1.105616e-13
0.45 1.1 0.3 -1.50252e-05 -3.26406e-12 1.502521e-05 1.22894e-13
0.5 1.1 0.3 -1.75462e-05 -3.18412e-12 1.754621e-05 1.377192e-13
0.55 1.1 0.3 -1.91359e-05 -3.13527e-12 1.913595e-05 1.556452e-13
0.6 1.1 0.3 -2.02174e-05 -3.11307e-12 2.021742e-05 1.764621e-13
0.65 1.1 0.3 -2.10798e-05 -3.10862e-12 2.107978e-05 1.997609e-13
0.7 1.1 0.3 -2.18466e-05 -3.11573e-12 2.184657e-05 2.253903e-13
0.75 1.1 0.3 -2.25673e-05 -3.13616e-12 2.256734e-05 2.533781e-13
0.8 1.1 0.3 -2.32639e-05 -3.16547e-12 2.326387e-05 2.83839e-13
0.85 1.1 0.3 -2.39469e-05 -3.20188e-12 2.394687e-05 3.169356e-13
0.9 1.1 0.3 -2.46221e-05 -3.24629e-12 2.462208e-05 3.528628e-13
0.95 1.1 0.3 -2.52928e-05 -3.29514e-12 2.529284e-05 3.918428e-13
1.0 1.1 0.3 -2.59613e-05 -3.35287e-12 2.596128e-05 4.341236e-13
1.05 1.1 0.3 -2.6629e-05 -3.41149e-12 2.662896e-05 4.799795e-13
1.1 1.1 0.3 -2.72973e-05 -3.47278e-12 2.729729e-05 5.297124e-13
0.0 1.1 0.35 4.448819e-05 -4.37481e-11 -4.44882e-05 2.979222e-11
0.05 1.1 0.35 3.821972e-05 -2.35554e-11 -3.82197e-05 1.236059e-11
0.1 1.1 0.35 3.190404e-05 -1.38307e-11 -3.1904e-05 4.897219e-12
0.15 1.1 0.35 2.554597e-05 -8.97682e-12 -2.5546e-05 1.886284e-12
0.2 1.1 0.35 1.915411e-05 -6.30962e-12 -1.91541e-05 7.146868e-13
0.25 1.1 0.35 1.274265e-05 -4.6585e-12 -1.27426e-05 2.680922e-13
0.3 1.1 0.35 6.33815e-06 -3.52696e-12 -6.33815e-06 9.997037e-14
0.35 1.1 0.35 1.328515e-12 -2.69296e-12 1.328515e-12 3.735863e-14
0.4 1.1 0.35 -5.50543e-06 -2.54907e-12 5.505428e-06 4.124953e-14
0.45 1.1 0.35 -9.57878e-06 -2.42828e-12 9.578784e-06 4.596441e-14
0.5 1.1 0.35 -1.23458e-05 -2.33946e-12 1.234581e-05 5.197666e-14
0.55 1.1 0.35 -1.40374e-05 -2.27995e-12 1.403745e-05 5.991356e-14
0.6 1.1 0.35 -1.51098e-05 -2.24176e-12 1.510981e-05 6.978701e-14
0.65 1.1 0.35 -1.59294e-05 -2.22045e-12 1.592942e-05 8.117181e-14
0.7 1.1 0.35 -1.66501e-05 -2.21245e-12 1.665014e-05 9.382966e-14
0.75 1.1 0.35 -1.73279e-05 -2.21423e-12 1.732787e-05 1.076989e-13
0.8 1.1 0.35 -1.79851e-05 -2.22311e-12 1.798506e-05 1.227956e-13
0.85 1.1 0.35 -1.8632e-05 -2.23821e-12 1.863197e-05 1.391709e-13
0.9 1.1 0.35 -1.92738e-05 -2.25864e-12 1.927384e-05 1.568956e-13
0.95 1.1 0.35 -1.99136e-05 -2.28439e-12 1.991356e-05 1.76054e-13
1.0 1.1 0.35 -2.05529e-05 -2.31459e-12 2.055285e-05 1.967425e-13
1.05 1.1 0.35 -2.11929e-05 -2.34568e-12 2.11929e-05 2.190682e-13
1.1 1.1 0.35 -2.18347e-05 -2.37499e-12 2.183468e-05 2.431497e-13
0.0 1.1 0.4 4.731915e-05 -4.60965e-11 -4.73191e-05 3.229983e-11
0.05 1.1 0.4 4.134059e-05 -2.45084e-11 -4.13406e-05 1.34821e-11
0.1 1.1 0.4 3.533966e-05 -1.41265e-11 -3.53396e-05 5.364271e-12
0.15 1.1 0.4 2.931866e-05 -8.99192e-12 -2.93186e-05 2.072427e-12
0.2 1.1 0.4 2.328856e-05 -6.21458e-12 -2.32886e-05 7.87156e-13
0.25 1.1 0.4 1.727326e-05 -4.52349e-12 -1.72733e-05 2.959641e-13
0.3 1.1 0.4 1.131758e-05 -3.37685e-12 -1.13176e-05 1.105616e-13
0.35 1.1 0.4 5.505428e-06 -2.54907e-12 -5.50543e-06 4.124953e-14
0.4 1.1 0.4 9.546086e-13 -1.92468e-12 9.546086e-13 1.568823e-14
0.45 1.1 0.4 -4.46993e-06 -1.80833e-12 4.469933e-06 1.736211e-14
0.5 1.1 0.4 -7.47672e-06 -1.71596e-12 7.476717e-06 1.96879e-14
0.55 1.1 0.4 -9.26026e-06 -1.64935e-12 9.26026e-06 2.315462e-14
0.6 1.1 0.4 -1.02961e-05 -1.60316e-12 1.029613e-05 2.799914e-14
0.65 1.1 0.4 -1.10431e-05 -1.57563e-12 1.104309e-05 3.390364e-14
0.7 1.1 0.4 -1.16932e-05 -1.55786e-12 1.169321e-05 4.061977e-14
0.75 1.1 0.4 -1.23077e-05 -1.54987e-12 1.230768e-05 4.806584e-14
0.8 1.1 0.4 -1.29082e-05 -1.54809e-12 1.29082e-05 5.622954e-14
0.85 1.1 0.4 -1.35038e-05 -1.55254e-12 1.350379e-05 6.512536e-14
0.9 1.1 0.4 -1.40987e-05 -1.56053e-12 1.409868e-05 7.478015e-14
0.95 1.1 0.4 -1.4695e-05 -1.57474e-12 1.469503e-05 8.522797e-14
1.0 1.1 0.4 -1.5294e-05 -1.5925e-12 1.529401e-05 9.650818e-14
1.05 1.1 0.4 -1.58963e-05 -1.60849e-12 1.589631e-05 1.086647e-13
1.1 1.1 0.4 -1.65025e-05 -1.62448e-12 1.650246e-05 1.217457e-13
0.0 1.1 0.45 4.936273e-05 -4.87006e-11 -4.93627e-05 3.499755e-11
0.05 1.1 0.45 4.358324e-05 -2.56186e-11 -4.35832e-05 1.470061e-11
0.1 1.1 0.45 3.781731e-05 -1.45191e-11 -3.78173e-05 5.876094e-12
0.15 1.1 0.45 3.20654e-05 -9.07185e-12 -3.20654e-05 2.278209e-12
0.2 1.1 0.45 2.633338e-05 -6.1684e-12 -2.63334e-05 8.681798e-13
0.25 1.1 0.45 2.063927e-05 -4.42668e-12 -2.06393e-05 3.276388e-13
0.3 1.1 0.45 1.502521e-05 -3.26406e-12 -1.50252e-05 1.22894e-13
0.35 1.1 0.45 9.578784e-06 -2.42828e-12 -9.57878e-06 4.596441e-14
0.4 1.1 0.45 4.469933e-06 -1.80833e-12 -4.46993e-06 1.736211e-14
0.45 1.1 0.45 6.673654e-13 -1.34204e-12 6.673654e-13 6.969209e-15
0.5 1.1 0.45 -3.22805e-06 -1.25056e-12 3.228053e-06 7.731943e-15
0.55 1.1 0.45 -5.08241e-06 -1.1795e-12 5.082412e-06 9.073739e-15
0.6 1.1 0.45 -6.04082e-06 -1.13065e-12 6.040821e-06 1.131195e-14
0.65 1.1 0.45 -6.66653e-06 -1.09601e-12 6.666534e-06 1.431409e-14
0.7 1.1 0.45 -7.20417e-06 -1.07292e-12 7.204167e-06 1.787075e-14
0.75 1.1 0.45 -7.7188e-06 -1.06049e-12 7.718797e-06 2.191294e-14
0.8 1.1 0.45 -8.22965e-06 -1.05249e-12 8.22965e-06 2.643008e-14
0.85 1.1 0.45 -8.74366e-06 -1.05072e-12 8.743656e-06 3.143069e-14
0.9 1.1 0.45 -9.26364e-06 -1.05249e-12 9.263643e-06 3.693052e-14
0.95 1.1 0.45 -9.7908e-06 -1.0596e-12 9.790802e-06 4.294872e-14
1.0 1.1 0.45 -1.03256e-05 -1.06937e-12 1.032559e-05 4.950647e-14
1.05 1.1 0.45 -1.08681e-05 -1.07825e-12 1.086813e-05 5.66264e-14
1.1 1.1 0.45 -1.14184e-05 -1.08624e-12 1.14184e-05 6.43325e-14
0.0 1.1 0.5 5.087419e-05 -5.15588e-11 -5.08742e-05 3.789601e-11
0.05 1.1 0.5 4.519237e-05 -2.68825e-11 -4.51924e-05 1.602278e-11
0.1 1.1 0.5 3.954905e-05 -1.50076e-11 -3.9549e-05 6.436361e-12
0.15 1.1 0.5 3.394934e-05 -9.21929e-12 -3.39493e-05 2.50571e-12
0.2 1.1 0.5 2.840179e-05 -6.17195e-12 -2.84018e-05 9.591454e-13
0.25 1.1 0.5 2.292274e-05 -4.37073e-12 -2.29227e-05 3.641536e-13
0.3 1.1 0.5 1.754621e-05 -3.18412e-12 -1.75462e-05 1.377192e-13
0.35 1.1 0.5 1.234581e-05 -2.33946e-12 -1.23458e-05 5.197666e-14
0.4 1.1 0.5 7.476717e-06 -1.71596e-12 -7.47672e-06 1.96879e-14
0.45 1.1 0.5 3.228053e-06 -1.25056e-12 -3.22805e-06 7.731943e-15
0.5 1.1 0.5 4.499971e-13 -9.03277e-13 4.499971e-13 3.503977e-15
0.55 1.1 0.5 -1.9135e-06 -8.33111e-13 1.913497e-06 3.877633e-15
0.6 1.1 0.5 -2.78231e-06 -7.79821e-13 2.782311e-06 4.699804e-15
0.65 1.1 0.5 -3.23655e-06 -7.42517e-13 3.236546e-06 6.014995e-15
0.7 1.1 0.5 -3.60908e-06 -7.15872e-13 3.609085e-06 7.686139e-15
0.75 1.1 0.5 -3.97261e-06 -6.98996e-13 3.972609e-06 9.667056e-15
0.8 1.1 0.5 -4.34346e-06 -6.88338e-13 4.343456e-06 1.19587e-14
0.85 1.1 0.5 -4.72652e-06 -6.81233e-13 4.726523e-06 1.457475e-14
0.9 1.1 0.5 -5.1235e-06 -6.80345e-13 5.123498e-06 1.753272e-14
0.95 1.1 0.5 -5.5349e-06 -6.83009e-13 5.534897e-06 2.085143e-14
1.0 1.1 0.5 -5.96072e-06 -6.8745e-13 5.960717e-06 2.45501e-14
1.05 1.1 0.5 -6.4007e-06 -6.92779e-13 6.400704e-06 2.864797e-14
1.1 1.1 0.5 -6.85449e-06 -6.95444e-13 6.854488e-06 3.316419e-14
0.0 1.1 0.55 5.208087e-05 -5.46638e-11 -5.20809e-05 4.100596e-11
0.05 1.1 0.55 4.643402e-05 -2.82929e-11 -4.6434e-05 1.745508e-11
0.1 1.1 0.55 4.083467e-05 -1.5584e-11 -4.08347e-05 7.048165e-12
0.15 1.1 0.55 3.529017e-05 -9.42268e-12 -3.52902e-05 2.756175e-12
0.2 1.1 0.55 2.981134e-05 -6.21636e-12 -2.98113e-05 1.060629e-12
0.25 1.1 0.55 2.441582e-05 -4.35119e-12 -2.44158e-05 4.060164e-13
0.3 1.1 0.55 1.913595e-05 -3.13527e-12 -1.91359e-05 1.556452e-13
0.35 1.1 0.55 1.403745e-05 -2.27995e-12 -1.40374e-05 5.991356e-14
0.4 1.1 0.55 9.26026e-06 -1.64935e-12 -9.26026e-06 2.315462e-14
0.45 1.1 0.55 5.082412e-06 -1.1795e-12 -5.08241e-06 9.073739e-15
0.5 1.1 0.55 1.913497e-06 -8.33111e-13 -1.9135e-06 3.877633e-15
0.55 1.1 0.55 2.873165e-13 -5.76428e-13 2.873165e-13 2.151218e-15
0.6 1.1 0.55 -8.56343e-07 -5.23137e-13 8.563431e-07 2.330804e-15
0.65 1.1 0.55 -1.16334e-06 -4.84057e-13 1.163341e-06 2.747777e-15
0.7 1.1 0.55 -1.35863e-06 -4.55636e-13 1.358627e-06 3.358437e-15
0.75 1.1 0.55 -1.5482e-06 -4.34319e-13 1.548203e-06 4.128524e-15
0.8 1.1 0.55 -1.74835e-06 -4.20997e-13 1.748353e-06 5.063695e-15
0.85 1.1 0.55 -1.96328e-06 -4.13891e-13 1.963278e-06 6.179664e-15
0.9 1.1 0.55 -2.19469e-06 -4.07674e-13 2.194689e-06 7.4952e-15
0.95 1.1 0.55 -2.44348e-06 -4.06786e-13 2.443483e-06 9.030398e-15
1.0 1.1 0.55 -2.71018e-06 -4.10338e-13 2.710184e-06 1.080604e-14
1.05 1.1 0.55 -2.99508e-06 -4.12115e-13 2.995084e-06 1.284325e-14
1.1 1.1 0.55 -3.29831e-06 -4.13891e-13 3.298312e-06 1.516324e-14
0.0 1.1 0.6 5.311927e-05 -5.80203e-11 -5.31193e-05 4.43388e-11
0.05 1.1 0.6 4.747829e-05 -2.98463e-11 -4.74783e-05 1.900458e-11
0.1 1.1 0.6 4.18862e-05 -1.62395e-11 -4.18862e-05 7.714858e-12
0.15 1.1 0.6 3.635022e-05 -9.67404e-12 -3.63502e-05 3.030723e-12
0.2 1.1 0.6 3.088064e-05 -6.2963e-12 -3.08806e-05 1.172709e-12
0.25 1.1 0.6 2.549354e-05 -4.35918e-12 -2.54935e-05 4.529707e-13
